1     # ionic step
 Electronic state energy (eV) and occupations
 Spin number 4
 spin=1 k-point=1/64 Cartesian=0.0000000 0.0000000 0.0000000 (5065 plane wave)
 1 -7.800204534666666 0.01562500000000000
 2 -7.800204532562878 0.01562500000000000
 3 -7.800204531715926 0.01562500000000000
 4 -7.800204529612489 0.01562500000000000
 5 -7.375685773723844 0.01562500000000000
 6 -7.375685771703990 0.01562500000000000
 7 -7.322742917937313 0.01562500000000000
 8 -7.322742916816235 0.01562500000000000
 9 -7.322742913870003 0.01562500000000000
 10 -7.322742912749606 0.01562500000000000
 11 -5.353152606323127 0.01562500000000000
 12 -5.353152604291397 0.01562500000000000
 13 7.089501711224893 0.01562439558578786
 14 7.089501712637399 0.01562439558576931
 15 7.437803701517677 0.01537364310412823
 16 7.437803702242661 0.01537364310176074
 17 7.437803704068221 0.01537364309579926
 18 7.437803704791716 0.01537364309343664
 19 8.206164956317679 0.0005012878968982705
 20 8.206164958234439 0.0005012878857027165
 21 11.14528272739159 0.000000000000000
 22 11.14528272905957 0.000000000000000
 23 11.35925975225000 0.000000000000000
 24 11.35925975357645 0.000000000000000
 25 11.35925975494108 0.000000000000000
 26 11.35925975627119 0.000000000000000
 27 18.48014896463826 0.000000000000000
 28 18.48014896467462 0.000000000000000
 29 18.48014896789168 0.000000000000000
 30 18.48014896793212 0.000000000000000
 31 21.57218976453198 0.000000000000000
 32 21.57218976743379 0.000000000000000
 33 25.61529863693801 0.000000000000000
 34 25.61529863766669 0.000000000000000
 35 25.66011033545150 0.000000000000000

 spin=1 k-point=2/64 Cartesian=0.02339960726099173 0.02339960726099173 -0.02339960726099173 (5144 plane wave)
 1 -7.809581995984305 0.01562500000000000
 2 -7.809581993393794 0.01562500000000000
 3 -7.800583076423250 0.01562500000000000
 4 -7.794389994543106 0.01562500000000000
 5 -7.380599632191340 0.01562500000000000
 6 -7.380599630165095 0.01562500000000000
 7 -7.335298333138170 0.01562500000000000
 8 -7.335298329744413 0.01562500000000000
 9 -7.316865069876406 0.01562500000000000
 10 -7.309985481239912 0.01562500000000000
 11 -4.651848753230523 0.01562500000000000
 12 -4.651848751444446 0.01562500000000000
 13 3.201496726799380 0.01562500000000000
 14 3.201496731255702 0.01562500000000000
 15 6.540803726774825 0.01562499999992055
 16 6.540803728926202 0.01562499999992055
 17 6.759257556063347 0.01562499988761832
 18 6.762675249164512 0.01562499987536368
 19 9.085847505488923 1.044799663452167e-12
 20 9.085847506680302 1.044799663452167e-12
 21 12.14120177134998 0.000000000000000
 22 12.14120177308491 0.000000000000000
 23 12.28068824334942 0.000000000000000
 24 12.28235522192885 0.000000000000000
 25 13.91513847733167 0.000000000000000
 26 13.91513848067999 0.000000000000000
 27 17.96243794790244 0.000000000000000
 28 17.96243794991815 0.000000000000000
 29 17.97488878114276 0.000000000000000
 30 17.98190809982925 0.000000000000000
 31 21.84912719682791 0.000000000000000
 32 21.84912720058585 0.000000000000000
 33 25.85616433211814 0.000000000000000
 34 25.85616433332151 0.000000000000000
 35 27.60603425129257 0.000000000000000

 spin=1 k-point=3/64 Cartesian=0.04679921452198346 0.04679921452198346 -0.04679921452198346 (5168 plane wave)
 1 -7.819877556904215 0.01562500000000000
 2 -7.819877554139243 0.01562500000000000
 3 -7.795231089105723 0.01562500000000000
 4 -7.795231086369933 0.01562500000000000
 5 -7.382415330707885 0.01562500000000000
 6 -7.382415328733964 0.01562500000000000
